contig	bin
contig_1962	12
contig_1990	12
contig_1999	12
contig_2000	12
contig_2001	12
contig_2012	12
contig_2036	12
contig_2044	12
contig_2052	12
contig_2061	12
contig_2071	12
contig_2074	12
contig_2081	12
contig_2092	12
contig_362	12
contig_370	12
contig_372	12
contig_395	12
contig_415	12
contig_496	12
contig_501	12
contig_502	12
contig_505	12
contig_506	12
contig_508	12
contig_520	12
contig_566	12
contig_61	12
contig_682	12
contig_687	12
contig_696	12
contig_794	12
contig_795	12
contig_808	12
contig_847	12
contig_869	12
contig_992	12
contig_1048	13
contig_1054	13
contig_1142	13
contig_1183	13
contig_1230	13
contig_1245	13
contig_1285	13
contig_1333	13
contig_1334	13
contig_1339	13
contig_1395	13
contig_1410	13
contig_1483	13
contig_1494	13
contig_1495	13
contig_1578	13
contig_1586	13
contig_1603	13
contig_1613	13
contig_1616	13
contig_1673	13
contig_1695	13
contig_1716	13
contig_1733	13
contig_1770	13
contig_1817	13
contig_1884	13
contig_1988	13
contig_319	13
contig_324	13
contig_332	13
contig_504	13
contig_565	13
contig_620	13
contig_763	13
contig_770	13
contig_798	13
contig_826	13
contig_856	13
contig_867	13
contig_919	13
contig_1184	14
contig_1231	14
contig_1322	14
contig_134	14
contig_1486	14
contig_1579	14
contig_1655	14
contig_1683	14
contig_1882	14
contig_2093	14
contig_650	14
contig_894	14
contig_991	14
contig_64	15
